20518	1.939409000	192.168.0.24	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27484526	1	1
20519	3.940267000	192.168.0.24	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27485974	1	1
20520	6.940916000	192.168.0.25	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27487422	1	1
20521	6.941805000	192.168.0.24	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27488870	1	1
20522	6.942480000	192.168.0.24	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27490318	1	1
20523	8.943307000	192.168.0.25	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27491766	1	1
20524	9.943998000	192.168.0.25	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27493214	1	1
20525	10.944815000	192.168.0.25	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27494662	1	1
20526	11.945542000	192.168.0.24	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27496110	1	1
20527	11.946361000	192.168.0.24	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27497558	1	1
20528	11.946999000	192.168.0.24	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27499006	1	1
20529	12.947846000	192.168.0.25	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27500454	1	1
20530	12.948505000	192.168.0.24	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27501902	1	1
20531	18.949385000	192.168.0.24	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27503350	1	1
20532	19.950046000	192.168.0.26	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27504798	1	1
20533	19.950869000	192.168.0.24	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27506246	1	1
20534	19.951514000	192.168.0.24	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27507694	1	1
20535	19.952389000	192.168.0.24	47728	10.0.0.5	5201	1514	1500	1448	0	1	0	0	27509142	1	1
